PORT,LONGITUDE,LATITUDE,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS
L3803,-85.86279,45.95508,"Port Inland, MI","4,102,678","3,836,515","266,163","24,471","241,692"
C4410,-156.4728,20.89861,"Kahului, Maui, HI","3,858,176","3,837,241","20,935","20,935",0
L3928,-91.256388,47.294208,"Silver Bay, MN","3,399,616","3,399,616",0,0,0
C4820,-149.895,61.23778,"Anchorage, AK","3,215,121","2,271,953","943,168","937,832","5,336"
C2224,-90.659051,29.57907,"Terrebonne, LA, Port of","3,194,762","3,194,762",0,0,0
I2331,-87.123504,37.779971,"Owensboro, KY","2,989,143","2,989,143",0,0,0
C4978,-164.5389,67.71918,"Kivilina, AK","2,850,810","1,489,161","1,361,649","88,595","1,273,054"
C2023,-82.60271,27.66,"Port Manatee, FL","2,823,145","555,793","2,267,352","2,034,503","232,849"
L3627,-84.31281,45.99139,"Port Dolomite, MI","2,708,823","2,545,330","163,493",0,"163,493"
L3202,-83.390609,41.915134,"Monroe, MI","2,679,727","2,635,076","44,651","7,198","37,453"
L3213,-82.71227,41.47022,"Sandusky, OH","2,646,862","1,067,226","1,579,636","62,057","1,517,579"
C0764,-76.72421,34.71693,"Morehead City, NC","2,640,865","1,120,006","1,520,859","740,430","780,429"
L3219,-80.79172,41.91873,"Ashtabula, OH","2,616,171","2,089,137","527,034","392,322","134,712"
L3212,-82.70906,41.52962,"Marblehead, OH","2,590,844","2,436,111","154,733","25,652","129,081"
C0298,-74.74081,40.13598,"Penn Manor, PA","2,550,575","165,719","2,384,856","1,806,213","578,643"
I2271,-91.126869,33.359232,"Greenville, MS","2,508,370","2,508,370",0,0,0
L3756,-87.89967,42.98824,"Milwaukee, WI","2,465,166","1,155,515","1,309,651","1,054,505","255,146"
I2276,-90.90056,32.3347,"Vicksburg, MS","2,412,454","2,412,454",0,0,0
C2162,-80.05267,26.76904,"Palm Beach, FL","2,382,153","796,714","1,585,439","373,410","1,212,029"
C0780,-81.49988,31.15856,"Brunswick, GA","2,374,831","112,750","2,262,081","1,004,599","1,257,482"
C0135,-70.73806,43.07398,"Portsmouth, NH","2,353,014","365,019","1,987,995","1,958,625","29,370"
C4702,-124.176146,46.904156,"Grays Harbor, WA","2,307,901","66,393","2,241,508","162,778","2,078,730"
C2016,-84.19926,30.19009,"Panama City, FL","2,278,553","460,245","1,818,308","651,061","1,167,247"
I2296,-89.571389,36.531111,"New Madrid County, MO, Port of","2,182,046","2,182,046",0,0,0
C4400,-155.0758,19.72861,"Hilo, HI","2,158,236","2,127,265","30,971","30,971",0
L3617,-83.42227,45.0556,"Alpena, MI","2,131,421","2,000,830","130,591","27,171","103,420"
C4660,-124.2095,43.36351,"Coos Bay, OR","2,088,259","43,292","2,044,967","172,778","1,872,189"
C2030,-91.843795,29.937314,"Iberia, LA","2,087,308","2,087,308",0,0,0
I2372,-85.32682,35.02448,"Chattanooga, TN","2,061,878","2,061,878",0,0,0
C4430,-159.3531,21.96111,"Nawiliwili, Kauai, HI","2,048,427","2,036,310","12,117","12,117",0
I6109,-95.726841,36.238056,"Tulsa, Port of Catoosa, OK","2,032,837","2,032,837",0,0,0
C4405,-155.8333,20.03778,"Kawaihae Harbor, HI","2,009,661","1,994,854","14,807","13,834",973
C2083,-89.08533,30.35216,"Gulfport, MS","1,930,348","176,795","1,753,553","1,308,873","444,680"
C4340,-122.214012,37.50536,"Redwood City, CA","1,905,211","95,512","1,809,699","1,436,731","372,968"
C0311,-73.17886,41.172,"Bridgeport, CT","1,902,808","1,783,685","119,123","119,123",0
I2371,-86.287506,34.373904,"Guntersville, AL","1,863,528","1,863,528",0,0,0
L3778,-88.018118,44.516215,"Green Bay, WI","1,790,335","1,467,040","323,295","280,750","42,545"
L3218,-81.29407,41.76666,"Fairport Harbor, OH","1,712,922","1,495,115","217,807","191,903","25,904"
C4947,-168.9382,53.75961,"Unalaska Island, AK","1,688,215","457,711","1,230,504","386,261","844,243"
C4335,-122.399042,37.806665,"San Francisco, CA","1,585,377","483,878","1,101,499","1,100,617",882
