PORT,LONGITUDE,LATITUDE,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS
C2162,-80.05267,26.76904,"Palm Beach, FL",2382153,796714,1585439,373410,1212029
C0780,-81.49988,31.15856,"Brunswick, GA",2374831,112750,2262081,1004599,1257482
C0135,-70.73806,43.07398,"Portsmouth, NH",2353014,365019,1987995,1958625,29370
C4702,-124.176146,46.904156,"Grays Harbor, WA",2307901,66393,2241508,162778,2078730
C2016,-84.19926,30.19009,"Panama City, FL",2278553,460245,1818308,651061,1167247
I2296,-89.571389,36.531111,"New Madrid County, MO, Port of",2182046,2182046,0,0,0
C4400,-155.0758,19.72861,"Hilo, HI",2158236,2127265,30971,30971,0
L3617,-83.42227,45.0556,"Alpena, MI",2131421,2000830,130591,27171,103420
C4660,-124.2095,43.36351,"Coos Bay, OR",2088259,43292,2044967,172778,1872189
C2030,-91.843795,29.937314,"Iberia, LA",2087308,2087308,0,0,0
I2372,-85.32682,35.02448,"Chattanooga, TN",2061878,2061878,0,0,0
C4430,-159.3531,21.96111,"Nawiliwili, Kauai, HI",2048427,2036310,12117,12117,0
I6109,-95.726841,36.238056,"Tulsa, Port of Catoosa, OK",2032837,2032837,0,0,0
C4405,-155.8333,20.03778,"Kawaihae Harbor, HI",2009661,1994854,14807,13834,973
C2083,-89.08533,30.35216,"Gulfport, MS",1930348,176795,1753553,1308873,444680
C4340,-122.214012,37.50536,"Redwood City, CA",1905211,95512,1809699,1436731,372968
C0311,-73.17886,41.172,"Bridgeport, CT",1902808,1783685,119123,119123,0
I2371,-86.287506,34.373904,"Guntersville, AL",1863528,1863528,0,0,0
L3778,-88.018118,44.516215,"Green Bay, WI",1790335,1467040,323295,280750,42545
L3218,-81.29407,41.76666,"Fairport Harbor, OH",1712922,1495115,217807,191903,25904
C4947,-168.9382,53.75961,"Unalaska Island, AK",1688215,457711,1230504,386261,844243
C4335,-122.399042,37.806665,"San Francisco, CA",1585377,483878,1101499,1100617,882
C0297,-75.3222,39.85423,"Chester, PA",1582309,328316,1253993,922191,331802
C4150,-119.208475,34.148244,"Port Hueneme, CA",1581649,12991,1568658,1396517,172141
C4100,-117.1784,32.70821,"San Diego, CA",1574868,212002,1362866,1316883,45983
I2385,-94.60762,39.115,"Kansas City, MO",1517347,1517347,0,0,0
C4725,-122.2294,47.98476,"Everett, WA",1499583,1127281,372302,225286,147016
L3737,-87.41614,41.64523,"Buffington, IN",1388861,1150061,238800,238800,0
C0112,-68.92497,44.45285,"Searsport, ME",1352913,184937,1167976,1099335,68641
I2293,-90.58323,34.52186,"Helena, AR",1341483,1341483,0,0,0
L3701,-86.238889,43.060833,"Grand Haven, MI",1302407,1150277,152130,131029,21101
C4718,-122.9089,47.06827,"Olympia, WA",1271809,513575,758234,45149,713085
C2151,-66.71667,18.00126,"Ponce, PR",1248578,350715,897863,722497,175366
I2268,-91.07121,33.77773,"Rosedale, MS",1212321,1212321,0,0,0
I2301,-89.93488,37.97332,"Southeast Missouri Port, MO",1179791,1179791,0,0,0
C0522,-73.07216,40.94881,"Port Jefferson, NY",1126756,1126756,0,0,0
L3844,-87.28703,46.51113,"Marquette, MI",1105550,741372,364178,364178,0
C0738,-77.276338,37.322308,"Hopewell, VA",1017739,508707,509032,20163,488869
I2298,-89.415053,36.498428,"Elvis Stahr Harbor, KY",975059,975059,0,0,0
C0189,-71.15875,41.72166,"Fall River, MA",973531,390350,583181,583181,0
I2269,-91.15361,32.79472,"Lake Providence, LA",944097,944097,0,0,0
L3506,-82.50235,42.71545,"Marine City, MI",941241,921741,19500,19500,0
L3725,-86.35014,43.19492,"Muskegon, MI",883788,737633,146155,146155,0
C2002,-88.88693,30.41907,"Biloxi, MS",854927,854927,0,0,0
C4800,-131.65,55.34193,"Ketchikan, AK",824416,780658,43758,14318,29440
C3813,-83.699621,46.040676,"Drummond Island, MI",819482,533518,285964,0,285964
I0514,-73.67332,40.87361,"Hempstead, NY",789672,789672,0,0,0
I3230,-78.904722,42.934167,"Buffalo, NY",787187,500156,287031,287031,0
L3216,-82.19514,41.48248,"Lorain, OH",771425,550927,220498,220498,0
C4810,-134.4239,58.29639,"Juneau, AK",771140,771140,0,0,0
